gene_id;transcript_id
Medtr4g051435;Medtr4g051435.1
Medtr4g051430;Medtr4g051430.1
Medtr4g051410;Medtr4g051410.1
Medtr4g026420;Medtr4g026420.1
Medtr5g019510;Medtr5g019510.1
Medtr5g019520;Medtr5g019520.1
Medtr4g051390;Medtr4g051390.1
Medtr4g051370;Medtr4g051370.1
Medtr4g051380;Medtr4g051380.1
Medtr8g035600;Medtr8g035600.1
Medtr6g060870;Medtr6g060870.1
Medtr2g087560;Medtr2g087560.1
Medtr4g051290;Medtr4g051290.1
Medtr4g051270;Medtr4g051270.1
Medtr4g051280;Medtr4g051280.1
Medtr4g051245;Medtr4g051245.1
Medtr4g051225;Medtr4g051225.1
Medtr4g051220;Medtr4g051220.1
Medtr4g051210;Medtr4g051210.1
Medtr4g051177;Medtr4g051177.1
Medtr3g108030;Medtr3g108030.1
Medtr4g051130;Medtr4g051130.1
Medtr4g051120;Medtr4g051120.1
Medtr4g114610;Medtr4g114610.1
Medtr4g051103;Medtr4g051103.1
Medtr4g051110;Medtr4g051110.1
Medtr4g051097;Medtr4g051097.1
Medtr8g011380;Medtr8g011380.1
Medtr1g045050;Medtr1g045050.1
Medtr6g055010;Medtr6g055010.1
Medtr6g061560;Medtr6g061560.1
Medtr3g054410;Medtr3g054410.1
Medtr1g099540;Medtr1g099540.1
Medtr4g086560;Medtr4g086560.1
Medtr1g110440;Medtr1g110440.1
Medtr5g063410;Medtr5g063410.1
Medtr5g063400;Medtr5g063400.1
Medtr5g063380;Medtr5g063380.1
Medtr2154s0010;Medtr2154s0010.1
Medtr4g047930;Medtr4g047930.1
Medtr3g103130;Medtr3g103130.1
Medtr2g042380;Medtr2g042380.1
Medtr7g076390;Medtr7g076390.1
Medtr4g057110;Medtr4g057110.1
Medtr6g042200;Medtr6g042200.1
Medtr6g042210;Medtr6g042210.1
Medtr6g032895;Medtr6g032895.1
Medtr6g042220;Medtr6g042220.1
Medtr2g076050;Medtr2g076050.1
Medtr6g042190;Medtr6g042190.1
Medtr3g117210;Medtr3g117210.1
Medtr0248s0030;Medtr0248s0030.1
Medtr0002s0740;Medtr0002s0740.1
Medtr0002s0750;Medtr0002s0750.1
Medtr0002s0760;Medtr0002s0760.1
Medtr0002s0730;Medtr0002s0730.1
Medtr2g101550;Medtr2g101550.1
Medtr0002s0510;Medtr0002s0510.1
Medtr0002s0540;Medtr0002s0540.1
Medtr0002s0580;Medtr0002s0580.1
Medtr0002s0590;Medtr0002s0590.1
Medtr0002s0630;Medtr0002s0630.1
Medtr0002s0680;Medtr0002s0680.1
Medtr0002s0690;Medtr0002s0690.1
Medtr1779s0010;Medtr1779s0010.1
Medtr1779s0020;Medtr1779s0020.1
Medtr6g022840;Medtr6g022840.1
Medtr5g082500;Medtr5g082500.1
Medtr8g024820;Medtr8g024820.1
Medtr2g086960;Medtr2g086960.1
Medtr1g046130;Medtr1g046130.1
Medtr2g062940;Medtr2g062940.1
Medtr2g062930;Medtr2g062930.1
Medtr1g095080;Medtr1g095080.1
Medtr3g450940;Medtr3g450940.1
Medtr3g450720;Medtr3g450720.1
